Year,Population
1960,32670039
1961,33666110
1962,34683407
1963,35721217
1964,36779999
1965,37858951
1966,38958048
1967,40072948
1968,41193601
1969,42307146
1970,43404793
1971,44484035
1972,45548479
1973,46603525
1974,47657561
1975,48718189
1976,49785282
1977,50861162
1978,51959015
1979,53095408
1980,54281846
1981,55522803
1982,56814306
1983,58148384
1984,59512619
1985,60896721
1986,62293856
1987,63701972
1988,65120439
1989,66550234
1990,67988862
1991,69436954
1992,70883481
1993,72300308
1994,73651218
1995,74910461
1996,76068743
1997,77133214
1998,78115710
1999,79035871
2000,79910412
2001,80742499
2002,81534407
2003,82301656
2004,83062821
2005,83832661
2006,84617540
2007,85419591
2008,86243413
2009,87092252
2010,87967651
2011,88871561
2012,89802487
2013,90753472
2014,91714595
2015,92677076
2016,93638724
2017,94596642
2018,95540395
2019,96462106
2020,97339000
2021,98169000
2022,98954000
2023,99699000
2024,100414000
2025,101107000
2026,101779000
2027,102426000
2028,103043000
2029,103624000
2030,104164000
2031,104660000
2032,105118000
2033,105539000
2034,105930000
2035,106296000
2036,106638000
2037,106955000
2038,107252000
2039,107531000
2040,107795000
2041,108045000
2042,108281000
2043,108503000
2044,108710000
2045,108901000
2046,109077000
2047,109237000
2048,109379000
2049,109503000
2050,109605000
